id,date,produit,categorie,region,montant,quantite
390,2024-04-21,BD Manga,Livres,Île-de-France,136.52,10
391,2024-02-02,BD Manga,Livres,PACA,242.24,9
392,2024-05-26,Tablette 10,Électronique,Île-de-France,886.18,7
393,2024-07-14,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,502.45,8
394,2024-12-15,Livre Cuisine,Livres,Île-de-France,130.64,9
395,2024-10-02,Lampe LED,Maison,Auvergne-Rhône-Alpes,196.54,7
396,2024-06-01,T-shirt Coton,Vêtements,Île-de-France,445.97,8
397,2024-04-27,Atlas Monde,Livres,Occitanie,76.93,4
398,2024-02-27,Veste Sport,Vêtements,Auvergne-Rhône-Alpes,60.64,1
399,2024-05-03,Atlas Monde,Livres,Île-de-France,54.28,4
400,2024-12-10,Tablette 10,Électronique,Bretagne,134.37,1
401,2024-04-29,Tablette 10,Électronique,Occitanie,1179.65,9
402,2024-05-28,Smartphone X,Électronique,Bretagne,811.58,4
403,2024-12-10,Cadre Photo,Maison,Bretagne,133.43,6
404,2024-07-30,Écharpe Laine,Vêtements,Auvergne-Rhône-Alpes,207.03,5
405,2024-09-10,Sneakers Urban,Vêtements,Bretagne,66.5,1
406,2024-12-22,Atlas Monde,Livres,Nouvelle-Aquitaine,129.35,7
407,2024-10-02,Plante Verte,Maison,Auvergne-Rhône-Alpes,178.55,8
408,2024-03-14,Veste Sport,Vêtements,PACA,515.45,8
409,2024-09-28,Livre Cuisine,Livres,Bretagne,54.58,3
410,2024-11-27,Coussin Déco,Maison,Nouvelle-Aquitaine,71.89,2
411,2024-04-07,Lampe LED,Maison,Bretagne,22.87,1
412,2024-10-27,Laptop Pro,Électronique,Auvergne-Rhône-Alpes,1179.38,9
413,2024-01-08,Veste Sport,Vêtements,Nouvelle-Aquitaine,260.95,4
414,2024-05-04,Webcam HD,Électronique,Occitanie,1894.52,10
415,2024-06-13,Guide Python,Livres,Bretagne,90.41,5
416,2024-07-03,Tasse Design,Maison,Nouvelle-Aquitaine,316.41,9
417,2024-08-28,Roman Policier,Livres,PACA,154.6,6
418,2024-01-24,Tasse Design,Maison,Occitanie,347.82,10
419,2024-10-10,T-shirt Coton,Vêtements,Nouvelle-Aquitaine,523.49,10
420,2024-04-10,BD Manga,Livres,Auvergne-Rhône-Alpes,95.47,6
421,2024-12-01,Sneakers Urban,Vêtements,Bretagne,244.58,6
422,2024-03-27,Livre Cuisine,Livres,Occitanie,90.22,6
423,2024-11-24,Guide Python,Livres,Bretagne,20.14,1
424,2024-01-04,Webcam HD,Électronique,Île-de-France,850.49,7
425,2024-03-18,T-shirt Coton,Vêtements,PACA,39.37,1
426,2024-11-12,BD Manga,Livres,Île-de-France,257.44,10
427,2024-09-29,Roman Policier,Livres,Île-de-France,166.71,9
428,2024-05-20,Clé USB 64Go,Électronique,PACA,2000.68,9
429,2024-12-11,Clé USB 64Go,Électronique,PACA,1412.18,7
430,2024-09-25,T-shirt Coton,Vêtements,Île-de-France,120.52,3
431,2024-07-22,Tasse Design,Maison,Nouvelle-Aquitaine,49.92,2
432,2024-05-04,Livre Cuisine,Livres,Bretagne,67.68,4
433,2024-01-17,Webcam HD,Électronique,PACA,307.27,2
434,2024-01-29,Atlas Monde,Livres,Occitanie,22.72,1
435,2024-11-26,Tablette 10,Électronique,Occitanie,1037.42,6
436,2024-04-27,Clé USB 64Go,Électronique,Île-de-France,852.61,4
437,2024-02-08,BD Manga,Livres,Île-de-France,127.75,5
438,2024-01-09,Smartphone X,Électronique,Nouvelle-Aquitaine,701.78,4
439,2024-03-24,Roman Policier,Livres,Nouvelle-Aquitaine,160.63,10
440,2024-07-15,Atlas Monde,Livres,Nouvelle-Aquitaine,71.95,3
441,2024-06-26,Clé USB 64Go,Électronique,PACA,116.72,1
442,2024-11-05,T-shirt Coton,Vêtements,Nouvelle-Aquitaine,658.75,10
443,2024-11-20,BD Manga,Livres,Île-de-France,119.42,5
444,2024-07-01,Livre Cuisine,Livres,Auvergne-Rhône-Alpes,235.37,9
445,2024-10-26,Guide Python,Livres,PACA,96.84,7
446,2024-02-07,Coussin Déco,Maison,PACA,45.72,2
447,2024-07-18,Guide Python,Livres,PACA,106.76,6
448,2024-08-15,Laptop Pro,Électronique,Nouvelle-Aquitaine,1178.17,6
449,2024-04-05,Smartphone X,Électronique,Île-de-France,1112.03,7
450,2024-02-15,Roman Policier,Livres,Île-de-France,123.48,6
451,2024-05-29,Plante Verte,Maison,Île-de-France,176.79,7
452,2024-05-04,Webcam HD,Électronique,Bretagne,1675.33,10
453,2024-05-17,Guide Python,Livres,Auvergne-Rhône-Alpes,82.33,5
454,2024-08-10,T-shirt Coton,Vêtements,Auvergne-Rhône-Alpes,233.3,5
455,2024-05-08,Roman Policier,Livres,Nouvelle-Aquitaine,91.92,4
456,2024-04-10,Atlas Monde,Livres,Bretagne,113.12,8
457,2024-06-19,Lampe LED,Maison,Occitanie,250.98,10
458,2024-08-08,Plante Verte,Maison,Nouvelle-Aquitaine,202.22,10
459,2024-04-12,Cadre Photo,Maison,PACA,190.27,8
460,2024-12-21,BD Manga,Livres,Nouvelle-Aquitaine,212.29,8
461,2024-05-23,Veste Sport,Vêtements,Occitanie,312.48,7
462,2024-04-02,Écharpe Laine,Vêtements,Bretagne,292.22,9
463,2024-05-29,Guide Python,Livres,Occitanie,48.79,2
464,2024-11-20,Livre Cuisine,Livres,Auvergne-Rhône-Alpes,80.43,5
465,2024-02-07,Sneakers Urban,Vêtements,Occitanie,537.32,8
466,2024-09-30,Atlas Monde,Livres,Occitanie,233.09,9
467,2024-07-03,Atlas Monde,Livres,Île-de-France,190.36,9
468,2024-12-02,Laptop Pro,Électronique,Auvergne-Rhône-Alpes,749.76,6
469,2024-12-12,Clé USB 64Go,Électronique,PACA,1547.12,7
470,2024-01-06,Plante Verte,Maison,Île-de-France,45.35,2
471,2024-07-19,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,474.43,8
472,2024-09-04,Veste Sport,Vêtements,Île-de-France,84.27,2
473,2024-03-13,Laptop Pro,Électronique,PACA,854.56,6
474,2024-09-04,Guide Python,Livres,Bretagne,116.74,6
475,2024-02-04,Livre Cuisine,Livres,Nouvelle-Aquitaine,66.22,5
476,2024-11-27,Laptop Pro,Électronique,Nouvelle-Aquitaine,372.51,2
477,2024-03-30,Jean Slim,Vêtements,Bretagne,335.38,9
478,2024-07-26,Livre Cuisine,Livres,Auvergne-Rhône-Alpes,45.85,3
479,2024-11-10,Livre Cuisine,Livres,Île-de-France,76.3,4
480,2024-12-26,Livre Cuisine,Livres,Île-de-France,62.25,4
481,2024-10-01,Clé USB 64Go,Électronique,Île-de-France,446.69,3
482,2024-05-14,Sneakers Urban,Vêtements,Île-de-France,403.98,8
483,2024-11-08,Cadre Photo,Maison,Occitanie,204.68,7
484,2024-11-12,Tasse Design,Maison,Occitanie,101.32,3
485,2024-02-13,Cadre Photo,Maison,Bretagne,71.29,3
486,2024-04-03,Veste Sport,Vêtements,Île-de-France,338.78,6
487,2024-03-11,Livre Cuisine,Livres,Bretagne,181.25,10
488,2024-10-02,Sneakers Urban,Vêtements,PACA,154.43,3
489,2024-04-05,BD Manga,Livres,Auvergne-Rhône-Alpes,148.35,6
490,2024-09-05,Casque Audio,Électronique,Île-de-France,385.25,3
491,2024-11-30,Atlas Monde,Livres,Bretagne,147.93,8
492,2024-08-15,Livre Cuisine,Livres,PACA,120.07,8
493,2024-01-17,Smartphone X,Électronique,Nouvelle-Aquitaine,659.91,5
494,2024-10-16,Coussin Déco,Maison,Occitanie,227.96,8
495,2024-05-17,Clé USB 64Go,Électronique,Île-de-France,1834.15,9
496,2024-08-13,Cadre Photo,Maison,Île-de-France,196.84,9
497,2024-11-30,Roman Policier,Livres,PACA,67.55,4
498,2024-06-27,Tablette 10,Électronique,Nouvelle-Aquitaine,315.38,2
499,2024-10-28,Smartphone X,Électronique,Auvergne-Rhône-Alpes,1249.96,6
500,2024-03-12,Guide Python,Livres,Bretagne,97.26,4
501,2024-09-29,Clé USB 64Go,Électronique,Nouvelle-Aquitaine,883.11,5
502,2024-05-29,Veste Sport,Vêtements,PACA,260.59,5
503,2024-01-31,Smartphone X,Électronique,Occitanie,1045.23,5
504,2024-03-15,Jean Slim,Vêtements,Auvergne-Rhône-Alpes,367.95,6
505,2024-10-22,Livre Cuisine,Livres,Auvergne-Rhône-Alpes,108.2,5
506,2024-11-20,Livre Cuisine,Livres,Île-de-France,36.8,2
507,2024-09-06,Tasse Design,Maison,Occitanie,174.83,6
508,2024-11-21,Webcam HD,Électronique,Occitanie,1242.08,6
509,2024-04-18,Guide Python,Livres,Occitanie,131.74,8
510,2024-10-22,Tasse Design,Maison,Bretagne,86.47,3
511,2024-01-25,BD Manga,Livres,PACA,14.03,1
512,2024-03-21,Roman Policier,Livres,Île-de-France,153.39,8
513,2024-03-08,Guide Python,Livres,PACA,74.45,5
514,2024-07-03,Lampe LED,Maison,PACA,95.74,5
515,2024-11-16,T-shirt Coton,Vêtements,Occitanie,288.18,5
516,2024-02-16,Sneakers Urban,Vêtements,PACA,63.08,2
517,2024-10-30,Roman Policier,Livres,Auvergne-Rhône-Alpes,80.32,4
518,2024-12-22,Roman Policier,Livres,Île-de-France,146.2,6
519,2024-02-06,Guide Python,Livres,Occitanie,72.46,4
520,2024-07-07,Laptop Pro,Électronique,Nouvelle-Aquitaine,607.28,5
521,2024-09-28,Jean Slim,Vêtements,Île-de-France,318.05,10
522,2024-04-19,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,193.85,3
523,2024-02-21,Guide Python,Livres,Île-de-France,70.31,3
524,2024-06-10,BD Manga,Livres,Occitanie,48.5,3
525,2024-11-03,Smartphone X,Électronique,Bretagne,1915.42,10
526,2024-06-03,Lampe LED,Maison,PACA,111.42,4
527,2024-11-26,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,59.72,1
528,2024-02-27,Sneakers Urban,Vêtements,Occitanie,197.94,4
529,2024-07-03,Clé USB 64Go,Électronique,Île-de-France,725.03,6
530,2024-12-15,BD Manga,Livres,Bretagne,70.75,3
531,2024-02-04,Laptop Pro,Électronique,Bretagne,136.46,1
532,2024-09-16,Laptop Pro,Électronique,Occitanie,902.14,5
533,2024-07-24,Livre Cuisine,Livres,PACA,43.65,2
534,2024-06-07,Veste Sport,Vêtements,Île-de-France,99.81,2
535,2024-06-16,Jean Slim,Vêtements,Bretagne,368.28,7
536,2024-08-11,Casque Audio,Électronique,PACA,447.79,4
537,2024-08-20,Tablette 10,Électronique,Île-de-France,1780.6,10
538,2024-01-07,Coussin Déco,Maison,Île-de-France,94.59,3
539,2024-09-24,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,537.19,9
540,2024-03-05,Coussin Déco,Maison,Nouvelle-Aquitaine,160.79,5
541,2024-08-07,Laptop Pro,Électronique,Nouvelle-Aquitaine,839.31,5
542,2024-02-09,Cadre Photo,Maison,PACA,212.83,8
543,2024-10-17,Lampe LED,Maison,Occitanie,74.56,3
544,2024-12-11,Lampe LED,Maison,Bretagne,44.14,2
545,2024-05-05,Laptop Pro,Électronique,Île-de-France,161.61,1
546,2024-01-19,Guide Python,Livres,Auvergne-Rhône-Alpes,217.48,9
547,2024-05-07,Guide Python,Livres,Nouvelle-Aquitaine,180.52,7
548,2024-10-19,Tasse Design,Maison,Île-de-France,119.33,6
549,2024-09-21,Smartphone X,Électronique,Auvergne-Rhône-Alpes,219.49,1
550,2024-06-08,Tablette 10,Électronique,Nouvelle-Aquitaine,692.2,6
551,2024-04-12,Roman Policier,Livres,Nouvelle-Aquitaine,103.59,5
552,2024-08-25,Cadre Photo,Maison,Auvergne-Rhône-Alpes,176.0,6
553,2024-10-06,Guide Python,Livres,PACA,59.07,4
554,2024-10-04,Roman Policier,Livres,Auvergne-Rhône-Alpes,130.55,6
555,2024-12-02,Casque Audio,Électronique,Île-de-France,1448.17,7
556,2024-09-28,Lampe LED,Maison,Auvergne-Rhône-Alpes,103.59,4
557,2024-05-23,Smartphone X,Électronique,PACA,220.54,2
558,2024-12-24,Écharpe Laine,Vêtements,Occitanie,288.03,6
559,2024-09-15,Clé USB 64Go,Électronique,Île-de-France,544.4,3
560,2024-10-17,Roman Policier,Livres,Bretagne,18.86,1
561,2024-05-13,Jean Slim,Vêtements,Nouvelle-Aquitaine,389.03,6
562,2024-08-19,BD Manga,Livres,Nouvelle-Aquitaine,79.82,5
563,2024-02-25,Jean Slim,Vêtements,Bretagne,105.91,3
564,2024-07-27,Livre Cuisine,Livres,Nouvelle-Aquitaine,40.63,2
565,2024-08-25,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,310.95,5
566,2024-06-04,Smartphone X,Électronique,PACA,1098.4,10
567,2024-12-30,Coussin Déco,Maison,Île-de-France,147.47,4
568,2024-12-12,Atlas Monde,Livres,Île-de-France,81.73,5
569,2024-08-19,T-shirt Coton,Vêtements,Occitanie,525.88,9
570,2024-02-22,T-shirt Coton,Vêtements,Occitanie,107.62,3
571,2024-04-11,Smartphone X,Électronique,Auvergne-Rhône-Alpes,1047.68,7
572,2024-05-12,Clé USB 64Go,Électronique,Bretagne,215.23,2
573,2024-08-15,Smartphone X,Électronique,PACA,348.11,3
574,2024-08-24,Lampe LED,Maison,Île-de-France,20.86,1
575,2024-01-16,Livre Cuisine,Livres,Occitanie,157.07,7
576,2024-04-05,Veste Sport,Vêtements,Auvergne-Rhône-Alpes,207.87,5
577,2024-11-13,T-shirt Coton,Vêtements,Bretagne,403.48,10
578,2024-10-08,Plante Verte,Maison,Occitanie,149.76,8
579,2024-08-02,Plante Verte,Maison,Auvergne-Rhône-Alpes,121.41,4
580,2024-07-14,Écharpe Laine,Vêtements,Île-de-France,292.61,6
581,2024-09-14,BD Manga,Livres,Bretagne,109.16,6
582,2024-11-01,T-shirt Coton,Vêtements,Nouvelle-Aquitaine,130.22,4
583,2024-09-28,Lampe LED,Maison,Occitanie,197.02,6
584,2024-05-06,Jean Slim,Vêtements,Île-de-France,164.38,4
585,2024-07-17,Smartphone X,Électronique,Bretagne,1303.35,6
586,2024-10-30,Jean Slim,Vêtements,Auvergne-Rhône-Alpes,363.14,6
587,2024-12-26,Cadre Photo,Maison,Île-de-France,218.71,6
588,2024-09-09,Écharpe Laine,Vêtements,Auvergne-Rhône-Alpes,383.63,9
589,2024-01-29,Roman Policier,Livres,Île-de-France,85.06,4
590,2024-01-01,Clé USB 64Go,Électronique,Occitanie,1290.89,6
591,2024-03-31,Jean Slim,Vêtements,Nouvelle-Aquitaine,201.86,6
592,2024-03-13,Écharpe Laine,Vêtements,PACA,123.95,2
593,2024-12-26,Lampe LED,Maison,Nouvelle-Aquitaine,204.54,7
594,2024-03-10,Tasse Design,Maison,Nouvelle-Aquitaine,96.44,3
595,2024-06-11,Livre Cuisine,Livres,PACA,68.35,3
596,2024-10-28,Coussin Déco,Maison,PACA,75.2,3
597,2024-01-01,Coussin Déco,Maison,Auvergne-Rhône-Alpes,253.32,10
598,2024-06-11,Smartphone X,Électronique,Bretagne,1315.07,10
599,2024-06-18,Tablette 10,Électronique,Auvergne-Rhône-Alpes,267.12,2
600,2024-02-15,Coussin Déco,Maison,PACA,158.6,6
601,2024-12-20,Coussin Déco,Maison,Auvergne-Rhône-Alpes,49.02,2
602,2024-01-25,Webcam HD,Électronique,Île-de-France,1103.1,7
603,2024-09-09,Guide Python,Livres,Occitanie,123.6,7
604,2024-10-22,Roman Policier,Livres,Occitanie,59.77,4
605,2024-01-11,Laptop Pro,Électronique,Nouvelle-Aquitaine,818.01,6
606,2024-03-28,Laptop Pro,Électronique,Nouvelle-Aquitaine,870.16,7
607,2024-06-22,Clé USB 64Go,Électronique,Île-de-France,2232.33,10
608,2024-11-30,Roman Policier,Livres,Occitanie,64.04,3
609,2024-02-21,Guide Python,Livres,Île-de-France,93.36,6
610,2024-10-10,Sneakers Urban,Vêtements,PACA,369.45,9
611,2024-02-19,Tasse Design,Maison,Auvergne-Rhône-Alpes,25.36,1
612,2024-07-03,Guide Python,Livres,Île-de-France,18.76,1
613,2024-04-12,Cadre Photo,Maison,Occitanie,36.03,2
614,2024-08-30,Veste Sport,Vêtements,Île-de-France,85.2,2
615,2024-12-04,Livre Cuisine,Livres,Occitanie,69.56,5
616,2024-07-14,Guide Python,Livres,Nouvelle-Aquitaine,91.72,6
617,2024-08-26,Casque Audio,Électronique,Occitanie,660.75,5
618,2024-03-18,Cadre Photo,Maison,Île-de-France,38.43,2
619,2024-10-28,Cadre Photo,Maison,Occitanie,114.29,4
620,2024-10-01,Atlas Monde,Livres,Occitanie,166.78,8
621,2024-02-10,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,448.0,7
622,2024-09-21,Clé USB 64Go,Électronique,Bretagne,1863.04,10
623,2024-03-29,T-shirt Coton,Vêtements,Occitanie,199.49,3
624,2024-08-04,Jean Slim,Vêtements,Île-de-France,134.16,2
625,2024-03-16,Guide Python,Livres,PACA,163.14,10
626,2024-10-11,Laptop Pro,Électronique,Occitanie,1198.73,7
627,2024-01-07,Cadre Photo,Maison,Occitanie,292.52,10
628,2024-03-17,Roman Policier,Livres,Occitanie,62.28,3
629,2024-02-21,Laptop Pro,Électronique,Bretagne,1045.49,5
630,2024-07-15,Plante Verte,Maison,Nouvelle-Aquitaine,231.52,8
631,2024-05-21,Roman Policier,Livres,Auvergne-Rhône-Alpes,102.7,7
632,2024-06-18,Roman Policier,Livres,Occitanie,53.24,4
633,2024-01-11,BD Manga,Livres,Nouvelle-Aquitaine,146.22,6
634,2024-09-08,Tasse Design,Maison,Nouvelle-Aquitaine,73.9,2
635,2024-08-14,Jean Slim,Vêtements,Nouvelle-Aquitaine,247.19,6
636,2024-02-15,Atlas Monde,Livres,PACA,75.84,4
637,2024-07-10,Livre Cuisine,Livres,Bretagne,20.02,1
638,2024-12-29,T-shirt Coton,Vêtements,Nouvelle-Aquitaine,414.2,9
639,2024-04-12,Smartphone X,Électronique,Auvergne-Rhône-Alpes,134.94,1
640,2024-12-26,Roman Policier,Livres,Nouvelle-Aquitaine,66.18,4
641,2024-11-21,Atlas Monde,Livres,Occitanie,44.82,2
642,2024-10-31,Veste Sport,Vêtements,Occitanie,303.14,8
643,2024-06-28,Atlas Monde,Livres,Bretagne,89.73,6
644,2024-01-15,Lampe LED,Maison,Nouvelle-Aquitaine,129.45,7
645,2024-04-25,Jean Slim,Vêtements,PACA,164.75,4
646,2024-12-15,Atlas Monde,Livres,Île-de-France,19.43,1
647,2024-01-05,Jean Slim,Vêtements,Bretagne,162.34,4
648,2024-07-11,Tasse Design,Maison,Occitanie,160.08,6
649,2024-12-12,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,550.58,9
650,2024-01-04,Atlas Monde,Livres,Île-de-France,242.93,9
651,2024-10-31,Cadre Photo,Maison,PACA,231.54,10
652,2024-06-21,Tablette 10,Électronique,Île-de-France,909.36,5
653,2024-12-30,Tasse Design,Maison,PACA,106.34,5
654,2024-07-25,T-shirt Coton,Vêtements,Bretagne,336.04,6
655,2024-05-31,Webcam HD,Électronique,Occitanie,1069.15,5
656,2024-01-19,Livre Cuisine,Livres,PACA,227.96,10
657,2024-04-23,Veste Sport,Vêtements,PACA,490.31,9
658,2024-06-02,BD Manga,Livres,Bretagne,74.12,3
659,2024-08-29,Veste Sport,Vêtements,Île-de-France,174.52,3
660,2024-02-15,Veste Sport,Vêtements,PACA,177.16,4
661,2024-07-09,Plante Verte,Maison,Nouvelle-Aquitaine,146.06,5
662,2024-01-28,Roman Policier,Livres,Occitanie,209.57,10
663,2024-09-13,Tablette 10,Électronique,Auvergne-Rhône-Alpes,418.2,2
664,2024-07-30,Atlas Monde,Livres,Nouvelle-Aquitaine,25.14,1
665,2024-06-24,Jean Slim,Vêtements,Auvergne-Rhône-Alpes,469.27,7
666,2024-04-02,Guide Python,Livres,Nouvelle-Aquitaine,39.24,2
667,2024-01-30,Veste Sport,Vêtements,PACA,47.77,1
668,2024-03-22,Jean Slim,Vêtements,Bretagne,478.14,8
669,2024-08-10,Smartphone X,Électronique,Bretagne,1073.85,7
670,2024-01-20,Livre Cuisine,Livres,Île-de-France,139.24,9
671,2024-09-28,Lampe LED,Maison,Nouvelle-Aquitaine,71.43,4
672,2024-05-07,Webcam HD,Électronique,PACA,752.89,4
673,2024-02-22,Tasse Design,Maison,Auvergne-Rhône-Alpes,192.97,7
674,2024-01-24,Coussin Déco,Maison,Île-de-France,182.35,5
675,2024-09-25,Atlas Monde,Livres,Bretagne,113.07,6
676,2024-07-02,Veste Sport,Vêtements,Occitanie,149.74,4
677,2024-04-24,Roman Policier,Livres,Auvergne-Rhône-Alpes,46.92,3
678,2024-03-27,Clé USB 64Go,Électronique,Bretagne,297.98,2
679,2024-05-10,Tablette 10,Électronique,PACA,1617.99,9
680,2024-11-30,Webcam HD,Électronique,Île-de-France,110.79,1
681,2024-07-13,Tablette 10,Électronique,Occitanie,341.35,2
682,2024-12-21,Guide Python,Livres,Auvergne-Rhône-Alpes,16.94,1
683,2024-05-18,Webcam HD,Électronique,Bretagne,1776.76,10
684,2024-09-18,Sneakers Urban,Vêtements,Île-de-France,357.38,10
685,2024-04-11,Laptop Pro,Électronique,Occitanie,1289.7,10
686,2024-07-02,Cadre Photo,Maison,Auvergne-Rhône-Alpes,163.85,7
687,2024-04-16,Clé USB 64Go,Électronique,Occitanie,1157.38,8
688,2024-02-15,Laptop Pro,Électronique,PACA,410.46,2
689,2024-09-18,Guide Python,Livres,Île-de-France,46.04,2
690,2024-04-28,Casque Audio,Électronique,PACA,1789.12,8
691,2024-01-26,Tasse Design,Maison,Occitanie,67.53,2
692,2024-12-12,Casque Audio,Électronique,Nouvelle-Aquitaine,936.72,6
693,2024-01-05,Laptop Pro,Électronique,Île-de-France,553.81,3
694,2024-08-12,Veste Sport,Vêtements,Nouvelle-Aquitaine,411.59,10
695,2024-04-03,Casque Audio,Électronique,Nouvelle-Aquitaine,306.19,2
696,2024-12-19,BD Manga,Livres,Occitanie,192.95,8
697,2024-12-22,T-shirt Coton,Vêtements,Auvergne-Rhône-Alpes,66.84,1
698,2024-10-29,T-shirt Coton,Vêtements,Occitanie,483.05,8
699,2024-07-13,Guide Python,Livres,Bretagne,128.42,6
700,2024-02-27,Sneakers Urban,Vêtements,Occitanie,331.55,7
701,2024-06-09,Casque Audio,Électronique,PACA,189.55,1
702,2024-09-24,Veste Sport,Vêtements,Bretagne,349.29,10
703,2024-12-05,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,257.96,7
704,2024-03-21,Laptop Pro,Électronique,PACA,1861.75,9
705,2024-09-08,Guide Python,Livres,Île-de-France,96.41,6
706,2024-04-24,Lampe LED,Maison,Bretagne,273.3,9
707,2024-08-23,Guide Python,Livres,Île-de-France,193.11,8
708,2024-08-16,Roman Policier,Livres,Occitanie,85.86,6
709,2024-07-25,Roman Policier,Livres,Île-de-France,91.81,7
710,2024-11-12,Laptop Pro,Électronique,Bretagne,1059.07,5
711,2024-07-05,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,60.9,1
712,2024-11-13,BD Manga,Livres,Bretagne,194.13,10
713,2024-02-19,Plante Verte,Maison,Île-de-France,70.18,4
714,2024-09-24,Tasse Design,Maison,Bretagne,189.25,6
715,2024-03-12,Smartphone X,Électronique,Occitanie,824.85,7
716,2024-07-20,Jean Slim,Vêtements,Île-de-France,191.81,4
717,2024-07-31,Veste Sport,Vêtements,Île-de-France,64.86,1
718,2024-12-03,Tablette 10,Électronique,Occitanie,2197.43,10
719,2024-09-28,Sneakers Urban,Vêtements,Île-de-France,51.42,1
720,2024-09-17,Atlas Monde,Livres,Occitanie,67.69,3
721,2024-07-17,Jean Slim,Vêtements,Île-de-France,533.22,10
722,2024-08-02,Cadre Photo,Maison,Occitanie,358.18,10
723,2024-06-24,Veste Sport,Vêtements,Occitanie,239.01,5
724,2024-11-04,Jean Slim,Vêtements,Occitanie,380.35,9
725,2024-04-21,Cadre Photo,Maison,PACA,86.78,4
726,2024-03-08,Tasse Design,Maison,PACA,82.73,3
727,2024-10-14,Lampe LED,Maison,Nouvelle-Aquitaine,233.25,8
728,2024-08-04,Atlas Monde,Livres,Nouvelle-Aquitaine,20.13,1
729,2024-01-28,Tablette 10,Électronique,Auvergne-Rhône-Alpes,128.99,1
730,2024-05-08,Veste Sport,Vêtements,PACA,185.15,3
731,2024-01-17,Coussin Déco,Maison,Bretagne,202.68,6
732,2024-10-14,Clé USB 64Go,Électronique,PACA,776.36,4
733,2024-12-22,Guide Python,Livres,Bretagne,112.89,5
734,2024-08-01,Tablette 10,Électronique,Occitanie,1325.4,6
735,2024-05-08,Laptop Pro,Électronique,PACA,717.87,4
736,2024-12-26,Guide Python,Livres,PACA,140.84,6
737,2024-08-17,Jean Slim,Vêtements,Nouvelle-Aquitaine,200.71,3
738,2024-09-20,Smartphone X,Électronique,Auvergne-Rhône-Alpes,300.53,2
739,2024-05-15,BD Manga,Livres,Bretagne,44.75,3
740,2024-08-26,Lampe LED,Maison,Nouvelle-Aquitaine,54.9,3
741,2024-11-16,Cadre Photo,Maison,Île-de-France,343.63,10
742,2024-10-08,Plante Verte,Maison,Bretagne,113.75,6
743,2024-04-04,Cadre Photo,Maison,Auvergne-Rhône-Alpes,169.77,9
744,2024-10-01,Sneakers Urban,Vêtements,Bretagne,243.67,7
745,2024-06-18,Jean Slim,Vêtements,PACA,266.93,6
746,2024-08-31,Écharpe Laine,Vêtements,Bretagne,550.38,9
747,2024-06-26,Laptop Pro,Électronique,PACA,1070.73,8
748,2024-06-13,T-shirt Coton,Vêtements,PACA,451.31,7
749,2024-10-03,Tablette 10,Électronique,Nouvelle-Aquitaine,539.82,5
750,2024-08-16,Cadre Photo,Maison,Bretagne,147.02,8
751,2024-02-12,Veste Sport,Vêtements,Bretagne,75.05,2
752,2024-04-17,Webcam HD,Électronique,Île-de-France,835.18,4
753,2024-10-02,Roman Policier,Livres,Auvergne-Rhône-Alpes,153.37,7
754,2024-03-19,Webcam HD,Électronique,PACA,160.11,1
755,2024-02-07,Lampe LED,Maison,Île-de-France,21.06,1
756,2024-10-21,Cadre Photo,Maison,Île-de-France,142.88,4
757,2024-11-18,Livre Cuisine,Livres,Occitanie,131.85,7
758,2024-03-01,Tablette 10,Électronique,PACA,951.37,9
759,2024-01-24,Webcam HD,Électronique,Bretagne,295.85,2
760,2024-06-03,Casque Audio,Électronique,PACA,1153.81,10
761,2024-12-04,Livre Cuisine,Livres,Occitanie,19.43,1
762,2024-07-19,Jean Slim,Vêtements,PACA,379.07,9
763,2024-11-27,Veste Sport,Vêtements,PACA,395.8,6
764,2024-03-13,Clé USB 64Go,Électronique,Bretagne,220.03,2
765,2024-02-13,Atlas Monde,Livres,Bretagne,78.12,5
766,2024-11-26,Coussin Déco,Maison,Occitanie,183.14,9
767,2024-05-09,Jean Slim,Vêtements,Bretagne,142.51,4
768,2024-11-26,Clé USB 64Go,Électronique,Occitanie,1024.0,9
769,2024-04-11,Casque Audio,Électronique,Île-de-France,1634.63,10
770,2024-12-09,Tasse Design,Maison,Auvergne-Rhône-Alpes,78.0,4
771,2024-09-05,Smartphone X,Électronique,Nouvelle-Aquitaine,1155.21,8
772,2024-10-16,Cadre Photo,Maison,Auvergne-Rhône-Alpes,247.9,10
773,2024-01-03,Plante Verte,Maison,Auvergne-Rhône-Alpes,134.54,6
774,2024-07-03,Sneakers Urban,Vêtements,Nouvelle-Aquitaine,167.89,3
775,2024-08-16,Plante Verte,Maison,Occitanie,197.97,6
776,2024-03-30,Atlas Monde,Livres,Île-de-France,137.8,10
777,2024-04-10,Coussin Déco,Maison,Bretagne,160.85,5
778,2024-01-10,Webcam HD,Électronique,Île-de-France,1627.16,9
